"트렌드","검색량","시작일","종료","트렌드 분석","탐색 링크"
"근로장려금","1만+","2025년 6월 26일 오전 12시 0분 0초 UTC+9",,"근로장려금,근로장려금 신청,국세청 장려금,장려금,장려금 국세청","https://trends.google.co.kr/trends/explore?q=%EA%B7%BC%EB%A1%9C%EC%9E%A5%EB%A0%A4%EA%B8%88&geo=KR&hl=ko"
"도르트문트 대 울산","2만+","2025년 6월 26일 오전 3시 10분 0초 UTC+9",,"도르트문트 대 울산,조현우,도르트문트,울산 도르트문트,울산","https://trends.google.co.kr/trends/explore?q=%EB%8F%84%EB%A5%B4%ED%8A%B8%EB%AC%B8%ED%8A%B8%20%EB%8C%80%20%EC%9A%B8%EC%82%B0&geo=KR&hl=ko"
"인테르 대 리버 플레이트","1만+","2025년 6월 26일 오전 9시 10분 0초 UTC+9",,"인테르 대 리버 플레이트,fifa 클럽 월드컵 순위","https://trends.google.co.kr/trends/explore?q=%EC%9D%B8%ED%85%8C%EB%A5%B4%20%EB%8C%80%20%EB%A6%AC%EB%B2%84%20%ED%94%8C%EB%A0%88%EC%9D%B4%ED%8A%B8&geo=KR&hl=ko"
"gemini cli","2천+","2025년 6월 25일 오후 11시 0분 0초 UTC+9",,"gemini cli","https://trends.google.co.kr/trends/explore?q=gemini%20cli&geo=KR&hl=ko"
"마지 심슨","1천+","2025년 6월 26일 오전 11시 30분 0초 UTC+9",,"마지 심슨,마지심슨","https://trends.google.co.kr/trends/explore?q=%EB%A7%88%EC%A7%80%20%EC%8B%AC%EC%8A%A8&geo=KR&hl=ko"
"권성동","500+","2025년 6월 26일 오전 11시 30분 0초 UTC+9",,"권성동","https://trends.google.co.kr/trends/explore?q=%EA%B6%8C%EC%84%B1%EB%8F%99&geo=KR&hl=ko"
"부천국제판타스틱영화제","1천+","2025년 6월 26일 오전 1시 0분 0초 UTC+9",,"부천국제판타스틱영화제,부천영화제","https://trends.google.co.kr/trends/explore?q=%EB%B6%80%EC%B2%9C%EA%B5%AD%EC%A0%9C%ED%8C%90%ED%83%80%EC%8A%A4%ED%8B%B1%EC%98%81%ED%99%94%EC%A0%9C&geo=KR&hl=ko"
"부천판타스틱영화제","500+","2025년 6월 26일 오후 1시 50분 0초 UTC+9",,"부천판타스틱영화제,부천국제영화제","https://trends.google.co.kr/trends/explore?q=%EB%B6%80%EC%B2%9C%ED%8C%90%ED%83%80%EC%8A%A4%ED%8B%B1%EC%98%81%ED%99%94%EC%A0%9C&geo=KR&hl=ko"
"제미나이 cli","500+","2025년 6월 26일 오전 8시 50분 0초 UTC+9",,"제미나이 cli","https://trends.google.co.kr/trends/explore?q=%EC%A0%9C%EB%AF%B8%EB%82%98%EC%9D%B4%20cli&geo=KR&hl=ko"
"양한센","200+","2025년 6월 26일 오후 12시 0분 0초 UTC+9",,"양한센","https://trends.google.co.kr/trends/explore?q=%EC%96%91%ED%95%9C%EC%84%BC&geo=KR&hl=ko"
"러브버그 익충","200+","2025년 6월 26일 오전 11시 40분 0초 UTC+9",,"러브버그 익충","https://trends.google.co.kr/trends/explore?q=%EB%9F%AC%EB%B8%8C%EB%B2%84%EA%B7%B8%20%EC%9D%B5%EC%B6%A9&geo=KR&hl=ko"
"bifan","200+","2025년 6월 26일 오후 1시 50분 0초 UTC+9",,"bifan","https://trends.google.co.kr/trends/explore?q=bifan&geo=KR&hl=ko"
"심은경","1천+","2025년 6월 25일 오후 9시 10분 0초 UTC+9",,"심은경","https://trends.google.co.kr/trends/explore?q=%EC%8B%AC%EC%9D%80%EA%B2%BD&geo=KR&hl=ko"
"nba draft","1천+","2025년 6월 26일 오전 7시 40분 0초 UTC+9","2025년 6월 26일 오후 2시 50분 0초 UTC+9","nba draft,nba draft 2025","https://trends.google.co.kr/trends/explore?q=nba%20draft&geo=KR&hl=ko"
"뇌르고르","2천+","2025년 6월 25일 오후 7시 50분 0초 UTC+9","2025년 6월 26일 오후 3시 10분 0초 UTC+9","뇌르고르","https://trends.google.co.kr/trends/explore?q=%EB%87%8C%EB%A5%B4%EA%B3%A0%EB%A5%B4&geo=KR&hl=ko"
"inter vs river plate","1천+","2025년 6월 26일 오전 10시 0분 0초 UTC+9","2025년 6월 26일 오후 2시 50분 0초 UTC+9","inter vs river plate,club world cup","https://trends.google.co.kr/trends/explore?q=inter%20vs%20river%20plate&geo=KR&hl=ko"
"엔비디아","2천+","2025년 6월 25일 오후 11시 0분 0초 UTC+9","2025년 6월 26일 오후 3시 0분 0초 UTC+9","엔비디아,엔비디아 주가,다우지수","https://trends.google.co.kr/trends/explore?q=%EC%97%94%EB%B9%84%EB%94%94%EC%95%84&geo=KR&hl=ko"
"서거석","500+","2025년 6월 26일 오전 10시 40분 0초 UTC+9","2025년 6월 26일 오후 3시 0분 0초 UTC+9","서거석","https://trends.google.co.kr/trends/explore?q=%EC%84%9C%EA%B1%B0%EC%84%9D&geo=KR&hl=ko"
"랄랄","2천+","2025년 6월 25일 오후 9시 40분 0초 UTC+9","2025년 6월 26일 오후 2시 0분 0초 UTC+9","랄랄","https://trends.google.co.kr/trends/explore?q=%EB%9E%84%EB%9E%84&geo=KR&hl=ko"
"26기 광수","1천+","2025년 6월 25일 오후 11시 30분 0초 UTC+9","2025년 6월 26일 오후 2시 0분 0초 UTC+9","26기 광수,26기 현숙,26기 현커,나는솔로 26기","https://trends.google.co.kr/trends/explore?q=26%EA%B8%B0%20%EA%B4%91%EC%88%98&geo=KR&hl=ko"
