단어,점수
발행,25
서울특별시,54
대통령,672
서울,35
이란,489
수집,25
키,27
이용,11
사용,18
기능,10
공감,1
게시,39
선정,386
학습,380
금지,-7
방지,18
크기,14
신석호,374
워드,374
글자,34
설정,24
충정로,374
검색어,24
서대문구,374
무단,374
응원,74
스팸성,14
청계천로,374
종로구,374
호,323
특검,322
경제,296
시안,39
프레,39
트럼프,280
무릎,256
미국,249
장관,245
정부,240
치료,237
이번,236
관련,233
전쟁,229
이스라엘,227
사업,224
한국,123
재난,222
정치,221
남북,216
의원,212
핵,210
지역,44
대한,198
후원,193
강,61
협동조합,191
부산,190
홍기,185
빌딩,185
개인정보,185
신문,185
후보자,184
체포영장,183
배우,176
연상,173
나토,171
김민석,170
윤,169
행사,168
최여진,165
박하나,165
남편,165
고현정,165
통합,159
시설,157
요구,157
내란,157
사회,154
국제,153
완주,153
정보,151
군,150
용,148
재판,148
문제,147
중동,146
계획,143
출석,142
비,139
길,139
위원,138
대해,137
일꾼,136
안성훈,136
기각,136
병원,134
문화,133
강남,132
수술,132
국회,132
열애,130
지연,130
시,129
자신,128
다시,128
대책,128
스페셜,128
최종,127
세계,126
본원,123
통증,123
주사,123
서초,123
장덕,123
신봉선,122
인상,121
구속,120
목적,120
주장,119
사랑,119
국무총리,118
전국,117
국민,117
훈련,117
우리,116
처리,116
관광,116
이전,115
요금,115
정상,115
회의,115
이재명,114
전체,113
갈등,113
미래,112
법원,112
힘,111
합의,110
반복,110
시간,110
우려,109
국방,107
공습,107
앞서,107
수사,107
인사,107
교육,107
홈,106
지원,105
공격,105
향후,105
취소,104
예정,103
휴전,103
주년,103
이유,102
만,-31
사진,99
추가,99
대표,99
진행,98
검찰,98
공개,98
결정,98
활용,98
기획,97
발,96
참석,95
대화,95
김관영,95
논설,94
이상,94
청구,94
방문,94
청소년,94
러시아,93
결혼,93
부담,93
혐의,93
의혹,91
구독료,91
보호책임,91
혜,91
마포구,91
이체,91
결제,91
검토,90
북한,90
축하,90
승리,90
피니언,90
간염,90
생각,89
기준,89
총리,89
인터넷,89
계좌,88
창간,88
양화로,88
응,87
버스,87
사건,86
세상,86
이외,86
중이,85
법,85
접촉,85
서울시,85
문의,85
서교동,85
혜제,85
익명,85
대회,84
가야,84
광주,83
해수부,83
건,82
확대,82
정책,82
사과,82
지사,81
비용,81
협상,81
조사,81
김봉규,81
식별,81
사업자,81
두,80
꿀,80
김재욱,80
결,80
보고,80
주민,79
윤석열,79
경북,79
당신,78
어디,78
가자지구,78
규명,77
지난해,77
로타리,77
학교,76
못,75
라인,75
최대,75
시작,74
우크라이나,74
모두,74
광장,74
취재,74
경찰,74
군민,74
화,73
오른쪽,73
간,72
회장,72
왼쪽,72
본부,72
의회,72
사격,72
공항,70
전현무,70
박정수,70
러브,70
다가,70
장희진,70
콘텐츠,70
내년,69
주진우,69
클럽,69
정경호,68
돈,68
탄생,68
구속영장,68
위원회,68
요약,67
제주도,67
차,66
사설,66
상황,66
발부,66
예산,66
산업,65
삭제,65
새,65
유럽,65
미스터,65
서정,65
공사,65
손헌수,65
김민경,65
얼마나,65
전액,65
남매,65
트롯,65
승,65
사람,65
원인,65
증거,65
요리,64
건강,64
선진,64
깜깜,64
면제,64
시민,63
종합,63
과거,63
가능성,63
운영,63
지도,62
출국금지,62
수정,62
접기,62
업데이트,61
삶,61
완화,61
코스피,60
지수,60
불발,60
싱크홀,60
편입,60
주먹구구,60
대충,60
수교,60
경우,59
처음,59
