단어,점수
대통령,468
경제,442
재난,344
서울특별시,337
의원,318
교육,317
사업,296
특검,293
조사,279
대표,272
서울,263
사회,249
청소년,236
응원,229
정책,224
이용,207
전국,206
관련,202
이상,202
스페셜,201
악수,200
무릎,200
치료,195
이번,193
계획,193
빌딩,190
신문,185
협동조합,185
정부,185
홍기,185
개인정보,185
후원,185
지급,182
사용,179
기업,179
시,178
글자,177
설정,176
이재명,176
지원,171
연설,170
시설,168
금지,167
게시,167
검색어,167
산업,167
수집,166
교,163
상품권,163
기획,161
평가,159
소득,158
스팸성,157
방지,157
크기,157
사랑,156
단계,155
국민,153
확대,153
공감,149
시정,146
전체,144
감독,144
택시,144
시민,143
정치,140
귀농,137
기능,137
귀촌,137
대상,136
국회,134
문화,134
교육감,132
두,132
활용,131
티몬,130
키,129
운영,128
가구,128
청년,127
서울시,126
기준,126
세계,124
강남,120
회부,120
도시,119
광명,117
공개,116
목적,116
요구,116
계좌,116
공원,115
세월,112
길,111
농업,111
배우,110
문의,109
대구,109
달,109
중이,108
경찰,108
향후,107
수사,105
시대,105
가장,105
서초,104
병원,104
수술,104
경기,103
열애,102
지난해,102
사업자,101
사실,100
해피머니,100
총,99
지연,99
손흥민,99
출범,99
최종,99
오른쪽,98
본원,98
장덕,98
힘,98
주사,98
통증,98
최대,97
고현정,97
자연,96
청주시,96
민주당,95
시간,95
왼쪽,95
전남,94
이체,94
규모,92
진행,91
정청래,91
관계자,91
광장,91
게임,90
참여,90
정보,90
이외,89
인터넷,89
처리,89
구독료,89
혜,89
마포구,89
혜제,89
추가경정예산,89
건,89
미국,89
익명,89
라인,89
재혼,88
설명,88
이명현,87
돈,87
법,87
새,87
취소,86
모두,86
피니언,86
창간,86
보호책임,86
본부,85
원,85
차례,85
제공,85
앞,83
반복,83
가격,83
납품,83
영향,82
진주,82
정착,82
금,82
투자,82
서교동,82
조윤희,82
김봉규,82
재판,81
현장,81
용,81
여러,81
결과,80
시사,80
무심천,80
물,80
쓰기,80
사진,79
종합,79
발전,78
식별,78
입장,78
결정,78
교통,78
국제,78
결제,78
사고,78
취재,78
도입,77
내란,77
층,77
위반,77
활동,77
이적,77
러닝,77
점,76
산국,76
마련,76
자리,76
울산,76
이용식,76
수교,76
선고,75
제도,75
선거,75
업체,75
양화로,74
지주회사,74
경북,74
성장,74
홈,74
직,74
사태,74
전북,73
손,73
콘텐츠,73
밀라노,72
피겨,72
여제,72
코르,72
김연아,72
군,72
티나,72
비,72
물놀이,71
대한,71
감축,71
박,71
거래,70
효과,70
화,69
이동건,69
심,69
단지,69
분석,69
그룹,69
처,68
대해,68
등장,68
핵,68
개인,68
토트넘,67
합의,67
지속,66
전환,66
예산,66
오아시스,65
액,65
법원,65
삭제,65
검찰,65
석,65
구조,65
이벤트,64
중심,63
추경,63
올해,63
박정수,63
자평,63
대응,63
전현무,63
시청자,63
추가,62
재생,62
요약,62
방침,61
시작,61
속도,61
광명시,61
사의,61
순찰,61
하동,61
자신,61
대비,61
일,61
포인트,61
이유,61
이란,60
기성용,60
단체,60
면담,60
서부,60
강제,60
회생,60
인수,60
교체,60
순위,60
서장훈,60
신봉선,60
이용권,60
민생,60
온실가스,60
장려,59
구미,59
소속,59
윤석열,59
시즌,59
추진,59
실질,58
박찬,58
출석,58
논란,58
크루,58
과정,58
판결,58
차,58
미래,57
본사,57
장비,56
진입,56
증가,56
반영,56
탄소,55
오산,55
초,55
실시,55
다리,55
업데이트,55
오전,55
발표,55
본회의,54
대면,54
준비,54
렌탈,54
현대,54
전쟁,53
해,53
과학,53
위원회,53
러브,53
딸,53
프로젝트,53
마모,52
눈,52
포함,52
최,52
지자체,52
기관,52
자녀,52
식단,52
사단,52
징역,51
입,51
기후변화,51
군수,51
벨로키랍토르,51
복지,51
국정,51
표,51
사람,51
사망,51
공룡,51
시장,51
전공,50
개발,50
대금,50
인재,50
국내,50
분야,50
하나,50
첫,50
촬영,50
제기,49
데,49
담합,49
사건,49
률,49
성별,49
서거,49
수준,49
현재,48
공습,48
협력,48
지방,48
자동,48
최고,48
차단,48
김대호,48
옥,48
경남,47
우리,47
직원,47
경기도,47
