연관단어1,점수1,연관단어2,점수2,연관단어3,점수3,연관단어4,점수4,연관단어5,점수5
게임,21,시즌,12,오징어,10,공개,6,영어,6
플래그,7,순위,5,무릎,4,김연아,4,코르,4
그룹,10,현대,7,기업,7,현대차,7,액,6
주인공,11,감독,9,메이트,5,러닝,5,기생충,5
손흥민,20,토트넘,11,이적,8,계약,7,가능성,7
고현정,6,안성현,5,성유리,5,무릎,4,조윤희,4
특검,13,이명현,8,수사,7,해병대,7,면담,7
미국,18,시설,18,핵,17,이란,15,공습,12
교육감,15,사실,9,교수,7,허위,6,혐의,6
고현정,6,빅플래닛,5,메이드,5,조윤희,4,정산,4
경기,9,수아레스,8,출전,6,징계,6,샌디에이고,5
자연,17,김대호,9,옥,9,고현정,6,주방,5
러닝,14,순찰,13,크루,12,서울,10,경찰,6
기성용,12,서울,12,이적,8,감독,6,결정,5
조정은,12,로버트,10,뮤지컬,9,프란체스카,9,최,8
서울특별시,2,충정로,1,수집,1,검색어,1,키,1
서울특별시,2,충정로,1,수집,1,검색어,1,키,1
대표,2,서울특별시,2,직,2,전공,2,사의,2
서울특별시,2,충정로,1,수집,1,검색어,1,키,1
서울특별시,2,충정로,1,수집,1,검색어,1,키,1
서울특별시,2,충정로,1,수집,1,검색어,1,키,1
특검,3,서울특별시,2,출석,2,내란,2,조사,2
특검,3,서울특별시,2,이명현,2,김건희,1,여러,1
서울특별시,2,충정로,1,수집,1,검색어,1,키,1
지지율,4,뭘,3,정상,3,평가,3,여론조사,3
티몬,3,서울특별시,2,인수,2,법원,2,회생,2
서울특별시,2,충정로,1,수집,1,검색어,1,키,1
서울특별시,2,산업,2,동아일보,1,충정로,1,수집,1
정책,3,서울특별시,2,교육,2,회부,2,사회,1
서울특별시,2,국방부,1,서울시,1,치킨,1,예방,1
재난,8,경제,5,기획,4,스페셜,3,시사,2
가격,8,담합,8,합의,7,롯데,7,임원,7
세월,13,교,13,청주시,12,무심천,10,장비,7
교통,7,전국,5,률,5,운행,5,보급,5
해피머니,19,상품권,17,사태,9,티몬,9,위메프,7
전쟁,9,무공훈장,8,해군,8,단원,5,서훈,4
발전,9,서부,9,한국,7,사고,7,태안,6
대통령,23,의원,22,악수,20,정청래,9,이재명,9
교,6,오산,6,분양,4,아테,4,경제,3
벨로키랍토르,9,공룡,9,속도,9,시속,7,뿔닭,6
지주회사,14,투자,13,기업,7,증가,5,지난해,5
조사,12,납품,10,기업,7,대금,7,연동제,6
대통령,11,응답,8,평가,8,이재명,7,국정,6
감축,14,온실가스,12,정부,11,인권위,7,계획,7
지급,18,가구,16,소득,15,장려,8,자녀,7
군수,8,혐의,6,민원,6,징역,5,양양군,5
청소년,37,정책,12,지원,11,사회,9,교육,9
농업,25,단지,10,대응,9,탄소,9,기후변화,9
예산,11,의원,5,현장,5,업,4,농어,4
이용권,9,평생교육,7,모집,6,기관,5,디지털,5
전남,23,산업,10,첨단,8,구축,6,에너지,6
대통령,25,의원,20,국민,16,힘,15,연설,14
대구,4,시급,4,인상,4,타결,4,합의,3
청년,14,프로젝트,7,구미,7,인재,7,스타트업,6
대구,10,무임,7,지자체,7,확대,7,어르신,6
영향,9,성별,7,평가,7,교육,6,정책,5
상품권,8,진주,7,사랑,7,확대,5,원,4
귀농,18,귀촌,18,단계,16,하동,8,교육,8
교육감,8,교육,7,전북,7,서거,4,입장,4
공원,11,물놀이,10,시설,10,수경,4,이용,4
광명,12,경,6,광명시,5,조사,5,시민,5
